Year	Sector	Reporting Legal Name	Facility Name	CO2 (tonnes CO2 eq)	CH4 (tonnes CO2 eq)	N2O (tonnes CO2 eq)	HFC (tonnes CO2 eq)	PFC (tonnes CO2 eq)	SF6 (tonnes CO2 eq)	Total (tonnes CO2 eq)
2009	Electric Power Generation	Capital Power Generation Services Inc.	Genesee Thermal Generating Station	9489671	2980	50798	0	0	0	9543449
2009	Electric Power Generation	Milner Power Limited Partnership by its GP Milner Power Inc.	H.R.Milner Generating Station	971698	356	5131	0	0	0	977186
2009	Electric Power Generation	TransAlta Generation Partnership	Keephills Thermal Electric Power Generating Plant	6024127	1622	38577	0	0	0	6064326
2009	Electric Power Generation	ATCO Power Canada Ltd.	Rainbow Lake Cogeneration Power Plant (Units 4-5)	228191	453	1855	0	0	0	230498
2009	Electric Power Generation	TransCanada Energy Ltd.	Redwater Cogeneration Plant	174603	289	1325	0	0	0	176217
2009	Electric Power Generation	Alberta Power (2000) Ltd.	Sheerness Generating Station	4863345	1274	21828	0	0	0	4886447
2009	Electric Power Generation	TransAlta Generation Partnership	Sundance Thermal Electric Power Generating Plant	14386311	4102	96308	0	0	0	14486722
2009	Electric Power Generation	TransAlta Generation Partnership	Wabamun Thermal Electric Power Generating Plant	2193220	671	15880	0	0	0	2209770
2009	Electric Power Generation	Nexen Inc.	Balzac Power Station	216154	983	1669	0	0	0	218806
2009	Electric Power Generation	University of Alberta Heating Plant	Heating Plant	195057	91	300	0	0	0	195447
2009	Electric Power Generation	Whitecourt Power Limited Partnership	Whitecourt Electric Power Generating Facility	1005	1335	4795	0	0	0	7134
2009	Fertilizer Manufacturing	Agrium Inc.	Redwater Fertilizer Operations	828228	30516	10726	0	0	0	869470
2009	Fertilizer Manufacturing	Canadian Fertilizers Limited	Canadian Fertilizers Limited	1413083	371	4229	0	0	0	1417682
2009	Fertilizer Manufacturing	Agrium Inc.	Carseland Nitrogen Operations	528252	2883	2102	0	0	0	533237
2009	Fertilizer Manufacturing	Orica Canada Inc.	Carseland Works	472	13	324617	0	0	0	325102
2009	Fertilizer Manufacturing	Agrium Inc.	Fort Saskatchewan Nitrogen Operations	577421	1129	1777	0	0	0	580327
2009	Food Manufacturing	Lantic Inc. Taber Factory	Lantic Inc. Taber Beet Sugar Factory	45181	9949	189	0	0	0	55319
2009	Natural Gas Distribution	ATCO Gas and Pipelines Ltd.	ATCO Gas - Distribution Systems and Carbon Plant	29789	198745	1770	0	0	0	230304
2009	Non-Metallic Mineral Product Manufacturing	Graymont Western Canada Inc.	Exshaw Plant	146115	20	166	0	0	0	146301
2009	Non-Metallic Mineral Product Manufacturing	Lafarge Canada Inc.	Exshaw Cement Plant	824088	0	0	0	0	0	824088
2009	Non-Metallic Mineral Product Manufacturing	Lehigh Cement	Edmonton Plant	617210	0	0	0	0	0	617210
2009	Oil Sands In Situ Extraction	"Cenovus FCCL Ltd., as operator for FCCL Partnership"	Christina Lake SAGD Bitumen Battery	235681	1283	374	0	0	0	237339
